Year,Month,VCSC,P0 WD Inv $,P1 WD Inv $
2024,May,GE02,68900,345735
2024,May,GE03,48900,68903
2024,May,GE04,8763,8763
2024,May,GE07,3768,3768
2024,May,GE10,0,0
2024,May,PS10,660181,660181
2024,May,WL01,13026,13026
2024,May,WL02,617,617
2024,June,GE02,341273,361273
2024,June,GE03,57359,67259
2024,June,GE04,47348,47348
2024,June,GE06,8512,8512
2024,June,GE07,2042,2042
2024,June,GE10,63,63
2024,June,PS10,662326,662326
2024,June,WL01,11469,11469
2024,June,WL02,1672,1672
2024,July,GE02,388186,368186
2024,July,GE03,50943,50943
2024,July,GE04,43583,43583
2024,July,GE06,5741,5741
2024,July,GE07,690,690
2024,July,GE10,19,19
2024,July,PS10,575121,578121
2024,July,WL01,14256,14296
2024,July,WL02,917,917
2024,August,GE02,441944,441944
2024,August,GE03,73654,73654
2024,August,GE04,50282,50282
2024,August,GE06,6607,6607
2024,August,GE07,158,158
2024,August,GE10,335,335
2024,August,PS10,670822,670822
2024,August,WL01,14856,14866
2024,August,WL02,409,409
2024,September,OE10,3568888,3568888
2024,September,GE02,512000,512000
2024,September,GE03,98700,98700
2024,September,PS10,820000,820000
