Memo Number,Date,Period,VCSC,Program AWI Code,Description,Quantity,Credit Amount
4582193,2024-09-15,Apr-Aug 2024,DC02,5001023.105MWI,Crestline HD Loyalty Credit DC02,1,-32000.00
4582193,2024-09-15,Apr-Aug 2024,DC02,5001PLHD-MKTI,Crestline RE Volume Credit DC02,1,-13500.00
4582193,2024-09-15,Apr-Aug 2024,DC03,5001023.100,Crestline Central Bill Credit DC03,1,-3200.00
4582193,2024-09-15,Apr-Aug 2024,DC03,5001PLLD-MKTI,Crestline Volume Credit DC03,1,-5400.00
4582193,2024-09-15,Apr-Aug 2024,DC04,5001PLLD-MKTI,Crestline Volume Credit DC04,1,-5500.00
4582193,2024-09-15,Apr-Aug 2024,WH01,5001CRDEVAL,Crestline Devel WH01 Credit,1,-13200.00
4582193,2024-09-15,Apr-Aug 2024,WH02,5001CRDEVAL,Crestline Devel WH02 Credit,1,-5800.00
4582193,2024-09-15,Apr-Aug 2024,NE10,5001NE-PROMO,Crestline Northeast Promo NE10,1,-28500.00
4582193,2024-09-15,Apr-Aug 2024,SW20,5001PLHD-MKTI,Crestline RE Volume Credit SW20,1,-48000.00
4582193,2024-09-15,Apr-Aug 2024,RG10,5001PLLD-MKTI,Crestline Volume Credit RG10,1,-119000.00
,,,,,TOTAL,,-274100.00
